split_file,number_of_clients,number_of_clients_from_filename,total_train_samples,total_positive_train_samples,total_negative_train_samples,global_positive_rate,mean_local_sample_size_per_client,std_local_sample_size_per_client,min_local_sample_size_per_client,max_local_sample_size_per_client,median_local_sample_size_per_client,mean_positive_samples_per_client,std_positive_samples_per_client,min_positive_samples_per_client,max_positive_samples_per_client,median_positive_samples_per_client,clients_without_positive_samples,clients_without_positive_samples_pct,clients_with_positive_samples,clients_with_positive_samples_pct,client_detail_csv
splits_iid_2_clients.json,2,2,177575,24742,152833,0.13933267633394342,88787.5,0.5,88787,88788,88787.5,12371.0,28.0,12343,12399,12371.0,0,0.0,2,1.0,split_client_details/splits_iid_2_clients_client_stats.csv
splits_iid_4_clients.json,4,4,177575,24742,152833,0.13933267633394342,44393.75,0.4330127018922193,44393,44394,44394.0,6185.5,18.607794065928395,6162,6214,6183.0,0,0.0,4,1.0,split_client_details/splits_iid_4_clients_client_stats.csv
splits_iid_8_clients.json,8,8,177575,24742,152833,0.13933267633394342,22196.875,0.33071891388307384,22196,22197,22197.0,3092.75,34.873879910328306,3040,3140,3092.5,0,0.0,8,1.0,split_client_details/splits_iid_8_clients_client_stats.csv
splits_iid_16_clients.json,16,16,177575,24742,152833,0.13933267633394342,11098.4375,0.49607837082461076,11098,11099,11098.0,1546.375,28.270733541951117,1494,1588,1554.5,0,0.0,16,1.0,split_client_details/splits_iid_16_clients_client_stats.csv
splits_iid_32_clients.json,32,32,177575,24742,152833,0.13933267633394342,5549.21875,0.41339864235384227,5549,5550,5549.0,773.1875,19.90200602326308,742,828,772.5,0,0.0,32,1.0,split_client_details/splits_iid_32_clients_client_stats.csv
splits_iid_64_clients.json,64,64,177575,24742,152833,0.13933267633394342,2774.609375,0.48789046862487484,2774,2775,2775.0,386.59375,15.802213798626445,352,432,387.5,0,0.0,64,1.0,split_client_details/splits_iid_64_clients_client_stats.csv
splits_iid_128_clients.json,128,128,177575,24742,152833,0.13933267633394342,1387.3046875,0.46027494755173237,1387,1388,1387.0,193.296875,12.081985152878438,161,217,193.5,0,0.0,128,1.0,split_client_details/splits_iid_128_clients_client_stats.csv
splits_iid_256_clients.json,256,256,177575,24742,152833,0.13933267633394342,693.65234375,0.4762261876838962,693,694,694.0,96.6484375,9.264422745567785,62,120,96.5,0,0.0,256,1.0,split_client_details/splits_iid_256_clients_client_stats.csv
splits_iid_512_clients.json,512,512,177575,24742,152833,0.13933267633394342,346.826171875,0.3789616180551592,346,347,347.0,48.32421875,6.433278301313292,25,67,48.0,0,0.0,512,1.0,split_client_details/splits_iid_512_clients_client_stats.csv
splits_iid_1024_clients.json,1024,1024,177575,24742,152833,0.13933267633394342,173.4130859375,0.49238800324515025,173,174,173.0,24.162109375,4.531906185650483,10,39,24.0,0,0.0,1024,1.0,split_client_details/splits_iid_1024_clients_client_stats.csv
splits_iid_2048_clients.json,2048,2048,177575,24742,152833,0.13933267633394342,86.70654296875,0.45534602453511824,86,87,87.0,12.0810546875,3.214541007303263,3,25,12.0,0,0.0,2048,1.0,split_client_details/splits_iid_2048_clients_client_stats.csv
splits_iid_4096_clients.json,4096,4096,177575,24742,152833,0.13933267633394342,43.353271484375,0.47798613233281584,43,44,43.0,6.04052734375,2.271128684852219,0,16,6.0,3,0.000732421875,4093,0.999267578125,split_client_details/splits_iid_4096_clients_client_stats.csv
splits_iid_8192_clients.json,8192,8192,177575,24742,152833,0.13933267633394342,21.6766357421875,0.4677604243433502,21,22,22.0,3.020263671875,1.6090198421250568,0,10,3.0,287,0.0350341796875,7905,0.9649658203125,split_client_details/splits_iid_8192_clients_client_stats.csv
splits_iid_16384_clients.json,16384,16384,177575,24742,152833,0.13933267633394342,10.83831787109375,0.368158957650894,10,11,11.0,1.5101318359375,1.1410615098836854,0,7,1.0,3183,0.19427490234375,13201,0.80572509765625,split_client_details/splits_iid_16384_clients_client_stats.csv
splits_iid_16384_clients_pre_adjustmend.json,16384,16384,177575,24742,152833,0.13933267633394342,10.83831787109375,0.368158957650894,10,11,11.0,1.5101318359375,1.1410615098836854,0,7,1.0,3183,0.19427490234375,13201,0.80572509765625,split_client_details/splits_iid_16384_clients_pre_adjustmend_client_stats.csv
splits_iid_32768_clients.json,32768,32768,177575,24742,152833,0.13933267633394342,5.419158935546875,0.493421444911027,5,6,5.0,0.75506591796875,0.8090023699112437,0,5,1.0,14562,0.44439697265625,18206,0.55560302734375,split_client_details/splits_iid_32768_clients_client_stats.csv
splits_iid_65536_clients.json,65536,65536,177575,24742,152833,0.13933267633394342,2.7095794677734375,0.453956436993466,2,3,3.0,0.377532958984375,0.5720633378715614,0,3,0.0,43692,0.66668701171875,21844,0.33331298828125,split_client_details/splits_iid_65536_clients_client_stats.csv
splits_iid_131072_clients.json,131072,131072,177575,24742,152833,0.13933267633394342,1.3547897338867188,0.47844955702279635,1,2,1.0,0.1887664794921875,0.4083810146593351,0,2,0.0,107224,0.81805419921875,23848,0.18194580078125,split_client_details/splits_iid_131072_clients_client_stats.csv
splits_iid_177575_clients.json,177575,177575,177575,24742,152833,0.13933267633394342,1.0,0.0,1,1,1.0,0.13933267633394342,0.34629334622479246,0,1,0.0,152833,0.8606673236660566,24742,0.13933267633394342,split_client_details/splits_iid_177575_clients_client_stats.csv
